branch	tip	committerdate_iso	author	merged	ahead	patch_unique	files_changed	insertions	deletions	class	subject
contrib/dave-gaming-pc/codex/pass65-wave2-arms	c5bd341e	2026-07-29T06:35:08+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	docs(hitl): capture pass 65 correction wave two
contrib/dave-gaming-pc/codex/pass65-wave2-chopper	5ac03889	2026-07-29T07:15:14+01:00	Dave Hatton	no	1	0	49	529	314	SUPERSEDED	feat(pass65): complete chopper presentation
contrib/dave-gaming-pc/codex/pass65-wave2-drone	0dfef047	2026-07-29T07:11:37+01:00	Dave Hatton	no	1	1	21	832	131	OLDER_UNMERGED	fix(pass65): correct drone flight and carpet targeting
contrib/dave-gaming-pc/codex/pass65-wave2-stability	c7cccbfd	2026-07-29T07:41:54+01:00	Dave Hatton	no	1	0	7	143	38	SUPERSEDED	fix(stability): batch support ground and shed blast work
contrib/dave-gaming-pc/codex/pass65-weapon-asset-forge	2f524f3c	2026-07-27T11:32:29+01:00	Dave Hatton	no	5	3	470	26063	624	OLDER_UNMERGED	feat(assets): forge Pass 65 firearm production corpus
contrib/dave-gaming-pc/codex/pass65-webgpu-gtao	0d0272ec	2026-07-27T00:24:43+01:00	Dave Hatton	no	2	0	14	215	49	SUPERSEDED	test(webgpu): validate custom GTAO review profile
contrib/dave-gaming-pc/codex/pass66-adaptive-admission	221f35fb	2026-07-30T02:50:13+01:00	Dave Hatton	no	3	3	5	433	86	OLDER_UNMERGED	fix(pass66): lock WebGPU quality before active play
contrib/dave-gaming-pc/codex/pass66-arms	8b58f2d1	2026-07-29T23:43:28+01:00	Dave Hatton	no	2	0	40	6855	292	SUPERSEDED	feat(pass66): forge licensed first-person arms
contrib/dave-gaming-pc/codex/pass66-evidence-finalizer	f41d0e24	2026-07-30T01:50:48+01:00	Dave Hatton	no	1	0	3	1006	0	SUPERSEDED	feat(pass66): add fail-closed evidence finalizer
contrib/dave-gaming-pc/codex/pass66-evidence-runner	1039be19	2026-07-30T04:48:02+01:00	Dave Hatton	no	4	1	14	2050	32	OLDER_UNMERGED	Bind Pass 66 hardware verifier identity
contrib/dave-gaming-pc/codex/pass66-final-adjustments-20260801	80ae1551	2026-08-02T16:46:54+01:00	Dave Hatton	no	9	0	431	42797	3204	SUPERSEDED	fix(media): isolate long WebGPU arena captures
contrib/dave-gaming-pc/codex/pass66-final-regression-audit	1fc15265	2026-07-30T02:57:34+01:00	Dave Hatton	no	1	0	3	137	40	SUPERSEDED	fix(pass66): fracture persistent window debris
contrib/dave-gaming-pc/codex/pass66-functional-fixes	b80cf976	2026-07-30T22:36:53+01:00	Dave Hatton	no	1	0	6	103	8	SUPERSEDED	fix(pass66): Carpet Bomber shed obliteration crash and sniper ADS first-frame stall
contrib/dave-gaming-pc/codex/pass66-integration	8c3ad1cd	2026-08-03T11:33:42+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	fix(v67.1): manage-loadout card dark+readable (specificity fix); chooser live card shows PASS 67.1 not internal 66
contrib/dave-gaming-pc/codex/pass66-interaction-glass-8127	675df63b	2026-07-30T22:07:02+01:00	Dave Hatton	no	3	1	21	910	229	OLDER_UNMERGED	Fix Pass 66 glass possession and audio authority
contrib/dave-gaming-pc/codex/pass66-media	ec8f743d	2026-07-29T22:41:47+01:00	Dave Hatton	no	1	0	31	6863	558	SUPERSEDED	feat(media): forge deterministic Pass 66 map previews
contrib/dave-gaming-pc/codex/pass66-owner-evidence	8cf644e2	2026-07-30T01:09:38+01:00	Dave Hatton	no	1	0	1	245	15	SUPERSEDED	fix(pass66): bind evidence descendant to frozen S0
contrib/dave-gaming-pc/codex/pass66-preview-provenance	bd18a14b	2026-07-30T05:32:43+01:00	Dave Hatton	no	1	0	3	1145	0	SUPERSEDED	Verify immutable PR preview provenance
contrib/dave-gaming-pc/codex/pass66-release-gate-hardening	cb0a9882	2026-07-30T05:35:34+01:00	Dave Hatton	no	2	0	4	702	126	SUPERSEDED	Validate exact Pass 66 acceptance projection
contrib/dave-gaming-pc/codex/pass66-release-repairs	6cc6cbb5	2026-07-30T02:09:23+01:00	Dave Hatton	no	1	0	11	198	43	SUPERSEDED	fix(pass66): harden protected release topology
contrib/dave-gaming-pc/codex/pass66-runtime	bcd2347a	2026-07-29T21:02:41+01:00	Dave Hatton	no	1	0	11	602	89	SUPERSEDED	feat(runtime): gate presentation and slice menu preparation
contrib/dave-gaming-pc/codex/pass66-support	5ad8b5c5	2026-07-29T21:45:35+01:00	Dave Hatton	no	1	1	23	896	100	OLDER_UNMERGED	feat(pass66): harden support input and drone formation
contrib/dave-gaming-pc/codex/pass66-support-presentation-audit	32f820c3	2026-07-30T21:56:41+01:00	Dave Hatton	no	5	2	47	1513	134	OLDER_UNMERGED	feat(pass66): upgrade field kit and streak presentations
contrib/dave-gaming-pc/codex/pass66-ui-hud-reskin	ba48d44b	2026-07-30T19:51:09+01:00	Dave Hatton	no	1	0	7	820	2	SUPERSEDED	Overhaul Pass 66 tactical UI and HUD
contrib/dave-gaming-pc/codex/pass66-viewmodel-frame-audit	81de1575	2026-07-30T19:03:51+01:00	Dave Hatton	no	1	0	6	247	33	SUPERSEDED	fix(pass66): bound M14 thermal work and viewmodel clipping
contrib/dave-gaming-pc/codex/pass66-webgpu-performance	cdd05bea	2026-07-30T00:15:51+01:00	Dave Hatton	no	2	0	9	598	73	SUPERSEDED	fix(pass66): fence WebGPU readback admission
contrib/dave-gaming-pc/codex/pass66-webgpu-preset-lock	7d8fa819	2026-07-30T04:04:42+01:00	Dave Hatton	no	4	0	12	737	132	SUPERSEDED	perf: cull closed Atomic arena backfaces
contrib/dave-gaming-pc/codex/pass66-world	ecefb50d	2026-07-29T20:58:01+01:00	Dave Hatton	no	1	0	16	942	30	SUPERSEDED	feat(pass66): unify world and bot perception authority
contrib/dave-gaming-pc/codex/pass69-3-all-finger-floors	acc527bd	2026-08-10T06:11:24+01:00	Dave Hatton	no	1	0	6	1059	301	SUPERSEDED	fix(bots): floor all carbine grip joints
contrib/dave-gaming-pc/codex/pass69-3-arms-author-20260810	264c94f8	2026-08-10T04:14:12+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	docs(pass69.3): reopen first-person arms reauthoring
contrib/dave-gaming-pc/codex/pass69-3-arms-reauthor-plan	4cefa5c0	2026-08-10T04:13:27+01:00	Dave Hatton	no	1	0	3	343	2	SUPERSEDED	docs(pass69.3): reopen first-person arms reauthoring
contrib/dave-gaming-pc/codex/pass69-3-dummy-rgb-proof-v1	e45fad33	2026-08-10T11:57:29+01:00	Dave Hatton	no	1	0	13	2519	72	SUPERSEDED	test: prove Gun Range dummy production rasterization
contrib/dave-gaming-pc/codex/pass69-3-first-fire-prewarm	69949a85	2026-08-10T02:34:42+01:00	Dave Hatton	no	1	0	6	291	21	SUPERSEDED	fix(gameplay): prewarm retained first-fire effects
contrib/dave-gaming-pc/codex/pass69-3-hand-camera-v2	8e5bef16	2026-08-10T11:56:53+01:00	Dave Hatton	no	3	3	12	3111	84	OLDER_UNMERGED	fix: bind hand evidence to canonical operator skin
contrib/dave-gaming-pc/codex/pass69-3-m14-prewarm	4ce8ddb8	2026-08-10T03:30:44+01:00	Dave Hatton	no	1	0	11	606	34	SUPERSEDED	fix: prewarm M14 fire and thermal ADS
contrib/dave-gaming-pc/codex/pass69-3-reconciliation	bd3c660c	2026-08-10T11:03:14+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	test(qa): bind rigged evidence to main-camera draws
contrib/dave-gaming-pc/codex/pass69-3-rigged-bot-live	2ca51ef7	2026-08-10T05:33:06+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	fix(pass69.3): floor rendered right pinky pose
contrib/dave-gaming-pc/codex/pass69-3-rigged-evidence-integration	4a22cc92	2026-08-10T14:16:23+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	fix(qa): keep hand admission out of generic LOS
contrib/dave-gaming-pc/codex/pass69-3-rigged-receipt-diag	724f14e5	2026-08-10T06:28:09+01:00	Dave Hatton	no	1	0	2	205	93	SUPERSEDED	fix(qa): diagnose rigged bot receipt failures
contrib/dave-gaming-pc/codex/pass69-3-rigged-visual-los	3828d67a	2026-08-10T08:01:27+01:00	Dave Hatton	no	1	0	13	2663	235	SUPERSEDED	fix(qa): bind rigged bot evidence to visible frames
contrib/dave-gaming-pc/codex/pass69-3-support-aircraft-live	4cd8a474	2026-08-10T02:48:01+01:00	Dave Hatton	no	1	0	8	740	5	SUPERSEDED	test(qa): add exact support aircraft live matrix
contrib/dave-gaming-pc/codex/pass69-3-webgpu-special	7be1bd65	2026-08-10T04:10:16+01:00	Dave Hatton	no	1	0	12	649	111	SUPERSEDED	fix(rendering): retain special weapon light graph
contrib/dave-gaming-pc/codex/pass69-live-soak	685ed786	2026-08-10T21:46:45+01:00	daveinturkey15-byte	yes	0	0	0	0	0	MERGED	Merge pull request #57 from daveinturkey15-byte/contrib/dave-gaming-pc/codex/pass69-two-choice-verifier
contrib/dave-gaming-pc/codex/pass69-main-windows-timeout	0727822a	2026-08-10T19:23:10+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	acceptance: record fallback admission evidence
contrib/dave-gaming-pc/codex/pass69-publication	20ed41fb	2026-08-10T16:44:45+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	ci: retrigger Pass 69 verification
contrib/dave-gaming-pc/codex/pass69-two-choice-verifier	b55f47f9	2026-08-10T21:22:47+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	fix(release): verify two-choice production topology
contrib/dave-gaming-pc/codex/pass70-candidate	de7ca98d	2026-08-11T12:34:29+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	assets(pass70): recapture immutable menu previews v14
contrib/dave-gaming-pc/codex/pass70-carpet-authority-rejoin	9dbf6271	2026-08-11T11:46:21+01:00	Dave Hatton	no	1	0	6	477	25	SUPERSEDED	fix: retain authoritative carpet fire across guest rejoin
contrib/dave-gaming-pc/codex/pass70-carpet-hosted-fire	1d09bd4d	2026-08-11T11:21:39+01:00	Dave Hatton	no	1	0	6	338	10	SUPERSEDED	Fix hosted Carpet Bomber ground fire
contrib/dave-gaming-pc/codex/pass70-carpet-reservation-lifecycle	81f30ea4	2026-08-11T12:10:22+01:00	Dave Hatton	no	1	0	5	215	15	SUPERSEDED	fix: reserve carpet authority through residual expiry
contrib/dave-gaming-pc/codex/pass70-chopper-complete	c7e1070e	2026-08-11T09:54:49+01:00	Dave Hatton	no	1	1	34	830	188	OLDER_UNMERGED	feat: complete Pass 70 chopper gunner
contrib/dave-gaming-pc/codex/pass70-context-loss-gate	d977e326	2026-08-11T10:25:36+01:00	Dave Hatton	no	1	0	4	383	13	SUPERSEDED	test(pass70): distinguish injected soak recovery
contrib/dave-gaming-pc/codex/pass70-crossbow-bolt	22d20015	2026-08-11T07:41:36+01:00	Dave Hatton	no	1	0	4	219	3	SUPERSEDED	fix(pass70): clear crossbow bolt from optic
contrib/dave-gaming-pc/codex/pass70-death-drop-expiry	28977fb0	2026-08-11T23:36:26+01:00	Dave Hatton	no	2	0	2	177	69	SUPERSEDED	test(pass70): require scavenge expiry margin
contrib/dave-gaming-pc/codex/pass70-field-kit-ui	7c6b9b6a	2026-08-11T07:49:34+01:00	Dave Hatton	no	1	0	14	528	222	SUPERSEDED	feat(pass70): clarify Field Kit stats and save flow
contrib/dave-gaming-pc/codex/pass70-fire	c09d8191	2026-08-11T07:49:20+01:00	Dave Hatton	no	1	0	13	215	60	SUPERSEDED	fix(pass70): make flare and ground fire damage exact
contrib/dave-gaming-pc/codex/pass70-firefox-geckodriver	27808597	2026-08-11T17:37:44+01:00	Dave Hatton	no	4	0	4	2377	0	SUPERSEDED	test: preserve Firefox injected-script newlines
contrib/dave-gaming-pc/codex/pass70-firefox-multiplayer	0e4ccb42	2026-08-11T15:18:47+01:00	Dave Hatton	no	1	0	9	764	19	SUPERSEDED	fix(pass70): harden cross-browser multiplayer presentation
contrib/dave-gaming-pc/codex/pass70-hands	60ffbcc7	2026-08-11T09:04:10+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	feat(pass70): brand drone swarm bodies
contrib/dave-gaming-pc/codex/pass70-hands-asset-finalize	e73b9f52	2026-08-11T11:51:23+01:00	Dave Hatton	no	1	0	23	1409	168	SUPERSEDED	asset(pass70): reauthor first-person hands master
contrib/dave-gaming-pc/codex/pass70-hands-finish	9f72a21c	2026-08-11T09:49:21+01:00	Dave Hatton	no	1	0	2	218	15	SUPERSEDED	fix(pass70): reconcile first-person hand pose chain
contrib/dave-gaming-pc/codex/pass70-hitl2-candidate	07a6bad5	2026-08-12T10:39:36+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	test: bound viewmodel geometry convergence
contrib/dave-gaming-pc/codex/pass70-hitl2-fieldkit	9c760123	2026-08-11T13:56:59+01:00	Dave Hatton	no	2	0	10	105	10	SUPERSEDED	test(pass70): close custom loadout audit gaps
contrib/dave-gaming-pc/codex/pass70-hitl2-support-testbay	a7434e5b	2026-08-11T19:50:38+01:00	Dave Hatton	no	1	0	53	4912	287	SUPERSEDED	feat(pass70): complete support and test-bay lane
contrib/dave-gaming-pc/codex/pass70-hitl2-viewmodel-arms	240ee64a	2026-08-11T14:51:46+01:00	Dave Hatton	no	1	0	11	863	221	SUPERSEDED	fix(pass70): correct viewmodel grips and contact stow
contrib/dave-gaming-pc/codex/pass70-hitl3-damage-audio-perf	66275a2b	2026-08-12T07:51:29+01:00	Dave Hatton	no	3	0	26	1393	169	SUPERSEDED	fix(pass70): seal residual flame authority edges
contrib/dave-gaming-pc/codex/pass70-hitl3-gunrange-hud	a6ea3019	2026-08-12T07:52:11+01:00	Dave Hatton	no	1	1	27	1449	101	OLDER_UNMERGED	fix gun range clock sticky alerts and carpet collision
contrib/dave-gaming-pc/codex/pass70-hitl3-viewmodel-xray	099fcaff	2026-08-12T07:29:30+01:00	Dave Hatton	no	1	0	12	1112	494	SUPERSEDED	fix viewmodel contact and exact operator reveals
contrib/dave-gaming-pc/codex/pass70-host-timer-authority	1fe097a5	2026-08-11T10:49:22+01:00	Dave Hatton	no	1	0	13	804	41	SUPERSEDED	fix(pass70): make Gun Range clock host authoritative
contrib/dave-gaming-pc/codex/pass70-hotfix-chopper-door	478700f8	2026-08-12T13:27:13+01:00	Dave Hatton	no	1	0	12	636	54	SUPERSEDED	Add authoritative chopper missiles and stabilize bay door lights
contrib/dave-gaming-pc/codex/pass70-hotfix-combat-ui	c1bdbff8	2026-08-12T13:26:39+01:00	Dave Hatton	no	1	0	17	419	42	SUPERSEDED	fix(pass70): restore railgun reveal and prewarm glass impacts
contrib/dave-gaming-pc/codex/pass70-hotfix-owner-round2	c405e10c	2026-08-12T18:47:31+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	ci: retain Windows browser gate headroom
contrib/dave-gaming-pc/codex/pass70-hotfix-viewmodel	81d77b6a	2026-08-12T13:16:38+01:00	Dave Hatton	no	1	0	10	377	89	SUPERSEDED	fix(pass70): harden viewmodel contact and arm IK
contrib/dave-gaming-pc/codex/pass70-menu-preview-v14	a557b80f	2026-08-11T11:11:37+01:00	Dave Hatton	no	1	0	9	41	25	SUPERSEDED	chore(pass70): open immutable menu preview v14 family
contrib/dave-gaming-pc/codex/pass70-multiplayer-fixes	712a931d	2026-08-11T11:28:28+01:00	Dave Hatton	no	3	1	27	577	133	OLDER_UNMERGED	fix(pass70): close multiplayer stability adversaries
contrib/dave-gaming-pc/codex/pass70-optic-aperture	5508e491	2026-08-11T07:26:54+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	test(pass70): distinguish optic and iron apertures
contrib/dave-gaming-pc/codex/pass70-owner-feedback-foundation	ee1802f2	2026-08-11T06:30:37+01:00	Dave Hatton	no	1	0	2	19	1	SUPERSEDED	test(pass70): bind start benchmark to owner gate
contrib/dave-gaming-pc/codex/pass70-qoder-late-failures	73b25baa	2026-08-11T22:30:14+01:00	Dave Hatton	no	1	0	2	230	25	SUPERSEDED	test(pass70): stage Qoder recovery deterministically
contrib/dave-gaming-pc/codex/pass70-qoder-rejoin-diagnostic	f5d5811d	2026-08-11T22:07:51+01:00	Dave Hatton	no	1	0	2	222	6	SUPERSEDED	test(pass70): foreground Qoder rejoin admission
contrib/dave-gaming-pc/codex/pass70-qoder-sw-adapter-recovery	75b66c3d	2026-08-11T22:56:41+01:00	Dave Hatton	no	1	0	2	151	55	SUPERSEDED	test(pass70): isolate software host recovery
contrib/dave-gaming-pc/codex/pass70-range-bots	b1dc4df9	2026-08-11T07:50:14+01:00	Dave Hatton	no	1	0	6	42	7	SUPERSEDED	fix(pass70): face and illuminate range dummies
contrib/dave-gaming-pc/codex/pass70-recovery-pose-assert	1d623be2	2026-08-11T20:58:53+01:00	Dave Hatton	no	1	0	1	10	0	SUPERSEDED	test: bind recovered players to checkpoint poses
contrib/dave-gaming-pc/codex/pass70-release-identity	d527c9ef	2026-08-11T10:12:57+01:00	Dave Hatton	no	1	0	19	220	95	SUPERSEDED	feat(pass70): stage truthful local release identity
contrib/dave-gaming-pc/codex/pass70-surface-effects	e1254466	2026-08-11T08:57:28+01:00	Dave Hatton	no	1	0	7	121	7	SUPERSEDED	fix(pass70): retain decals and settle glass debris
contrib/dave-gaming-pc/codex/pass70-test-bay-world	49f76764	2026-08-11T09:13:22+01:00	Dave Hatton	no	1	0	12	545	37	SUPERSEDED	fix(pass70): make the test bay world coherent
contrib/dave-gaming-pc/codex/pass70-v15-preview-code	8612226f	2026-08-11T20:50:19+01:00	Dave Hatton	no	1	0	9	85	28	SUPERSEDED	chore(pass70): open immutable menu preview v15 family
contrib/dave-gaming-pc/codex/pass70-weapon-contact-scope	c68ab4e3	2026-08-11T09:20:47+01:00	Dave Hatton	no	1	0	13	819	41	SUPERSEDED	fix(pass70): protect contact poses and author railgun scope
contrib/dave-gaming-pc/codex/pass70-webkit-contract	33a076e2	2026-08-11T16:31:54+01:00	Dave Hatton	no	1	0	4	348	40	SUPERSEDED	test(pass70): qualify WebKit no-audio evidence
contrib/dave-gaming-pc/codex/pass71-acceptance-static-timeout-fix	1fb919c9	2026-08-14T06:50:43+01:00	Dave Hatton	no	135	135	332	66949	2755	PASS71_FAMILY	test(acceptance): isolate Pass71 approval text policy
contrib/dave-gaming-pc/codex/pass71-authority-hardening	f92b2725	2026-08-13T09:37:36+01:00	Dave Hatton	no	11	11	75	4114	1478	PASS71_FAMILY	fix(pass71): harden sticky and support feedback authority
contrib/dave-gaming-pc/codex/pass71-bot-glass-protocol	8fafaa0f	2026-08-13T14:00:51+01:00	Dave Hatton	no	37	37	166	13698	2153	PASS71_FAMILY	fix(protocol): admit canonical bot glass events
contrib/dave-gaming-pc/codex/pass71-candidate-287-chopper-fix	e219fbfd	2026-08-14T06:04:08+01:00	Dave Hatton	no	133	133	332	66903	2755	PASS71_FAMILY	fix(chopper): align tracked evidence with current authority
contrib/dave-gaming-pc/codex/pass71-candidate-91ea-chopper-fix	cd1d2e02	2026-08-14T09:49:17+01:00	Dave Hatton	no	142	142	335	68661	2735	PASS71_FAMILY	test: fix Chopper evidence sequencing
contrib/dave-gaming-pc/codex/pass71-capsule-evidence	16009b42	2026-08-13T13:41:37+01:00	Dave Hatton	no	35	35	165	13359	2134	PASS71_FAMILY	test(physics): prove shipped capsule contacts
contrib/dave-gaming-pc/codex/pass71-chopper-69e-sequencing-fix	3ee514a8	2026-08-14T03:58:05+01:00	Dave Hatton	no	124	124	328	63779	2398	PASS71_FAMILY	test(chopper): arm evidence before presentation and input
contrib/dave-gaming-pc/codex/pass71-chopper-ci-257b-fix2	a08ea9fd	2026-08-14T10:35:41+01:00	Dave Hatton	no	144	144	335	68909	2735	PASS71_FAMILY	test(chopper): separate software CI evidence
contrib/dave-gaming-pc/codex/pass71-chopper-ci-6bf	0f667b4f	2026-08-14T08:56:01+01:00	Dave Hatton	no	139	139	335	68570	2755	PASS71_FAMILY	test(chopper): retain CI timing evidence before expiry
contrib/dave-gaming-pc/codex/pass71-chopper-ci-fix	95d2189a	2026-08-13T17:05:43+01:00	Dave Hatton	no	46	46	174	15414	2205	PASS71_FAMILY	test: harden chopper evidence camera
contrib/dave-gaming-pc/codex/pass71-chopper-ci-sequencing	b85998c5	2026-08-14T07:57:35+01:00	Dave Hatton	no	136	136	332	67716	2758	PASS71_FAMILY	test(chopper): sequence CI evidence before actions
contrib/dave-gaming-pc/codex/pass71-ci-debris-readiness	47f99b01	2026-08-14T02:18:15+01:00	Dave Hatton	no	121	121	328	63188	2372	PASS71_FAMILY	test(glass): observe debris lifecycle in page
contrib/dave-gaming-pc/codex/pass71-crossbow-candidate-fix	0ce824a4	2026-08-14T08:49:38+01:00	Dave Hatton	no	140	140	335	68542	2738	PASS71_FAMILY	test(quality): audit repaired Pass71 glass source
contrib/dave-gaming-pc/codex/pass71-crossbow-fuse-ci	03529c75	2026-08-14T01:53:30+01:00	Dave Hatton	no	119	119	327	62882	2367	PASS71_FAMILY	test(glass): arm crossbow fuse observation before fire
contrib/dave-gaming-pc/codex/pass71-debris-real-time-fallback	ec5ecd00	2026-08-14T04:26:06+01:00	Dave Hatton	no	125	125	328	64885	2461	PASS71_FAMILY	Fix crossbow target pane blast occlusion
contrib/dave-gaming-pc/codex/pass71-dynamic-acceptance	a698496a	2026-08-13T12:06:05+01:00	Dave Hatton	no	29	29	147	10569	1988	PASS71_FAMILY	fix(release): select acceptance provenance dynamically
contrib/dave-gaming-pc/codex/pass71-effects-audio-glass	c35dd012	2026-08-13T09:00:44+01:00	Dave Hatton	no	5	5	19	1516	341	PASS71_FAMILY	test(audio): gate soak on canonical readiness
contrib/dave-gaming-pc/codex/pass71-final-quality-audit-7c9	d1257e9c	2026-08-14T07:49:03+01:00	Dave Hatton	no	137	137	335	67683	2752	PASS71_FAMILY	test(quality): audit final Pass71 glass source
contrib/dave-gaming-pc/codex/pass71-final-quality-audit-e219	edb2f010	2026-08-14T06:09:24+01:00	Dave Hatton	no	134	134	332	66931	2755	PASS71_FAMILY	test(quality): audit final Pass71 source e219
contrib/dave-gaming-pc/codex/pass71-final-quality-source-audit	36280f69	2026-08-14T04:30:16+01:00	Dave Hatton	no	129	129	328	65294	2469	PASS71_FAMILY	test(quality): audit final Pass71 runtime source
contrib/dave-gaming-pc/codex/pass71-firefox-chrome-parity	bd25073c	2026-08-13T10:32:31+01:00	Dave Hatton	no	17	17	119	7734	1671	PASS71_FAMILY	test: add native Firefox Chrome parity gate
contrib/dave-gaming-pc/codex/pass71-flare-exact-identity	21992f41	2026-08-13T18:27:02+01:00	Dave Hatton	no	59	59	184	16632	2241	PASS71_FAMILY	fix(glass): bind flare breach to exact collider
contrib/dave-gaming-pc/codex/pass71-flare-settle-287	d2b0ed11	2026-08-14T05:04:33+01:00	Dave Hatton	no	131	131	328	65400	2469	PASS71_FAMILY	fix(glass): clamp exact-lifetime ULP drift
contrib/dave-gaming-pc/codex/pass71-frame-budget-windows-fix	996740d3	2026-08-13T14:42:08+01:00	Dave Hatton	no	40	40	170	14912	2153	PASS71_FAMILY	test(pass71): require complete frame baselines
contrib/dave-gaming-pc/codex/pass71-glass-ci-diagnosis	26de7920	2026-08-13T15:33:07+01:00	Dave Hatton	no	41	41	169	15078	2163	PASS71_FAMILY	fix(ci): shard Pass 71 supplemental browser gates
contrib/dave-gaming-pc/codex/pass71-glass-ci-fix	dfa9aec7	2026-08-14T07:41:59+01:00	Dave Hatton	no	136	136	335	67677	2752	PASS71_FAMILY	fix(glass): retain exact impact and physics receipts
contrib/dave-gaming-pc/codex/pass71-glass-eligibility	80622379	2026-08-13T10:18:51+01:00	Dave Hatton	no	17	17	123	7433	1685	PASS71_FAMILY	fix(pass71): breach glass for projectile weapons
contrib/dave-gaming-pc/codex/pass71-glass-matrix-budget	712cbddf	2026-08-13T18:36:51+01:00	Dave Hatton	no	59	59	182	16561	2231	PASS71_FAMILY	test(glass): shard lifecycle action matrix
contrib/dave-gaming-pc/codex/pass71-glass-matrix-reconcile	687e0a03	2026-08-13T18:14:43+01:00	Dave Hatton	no	56	56	181	16440	2222	PASS71_FAMILY	fix(glass): schedule pane collider reconciliation promptly
contrib/dave-gaming-pc/codex/pass71-glass-second-fix	9dbb95be	2026-08-13T17:52:17+01:00	Dave Hatton	no	53	53	180	16380	2219	PASS71_FAMILY	fix(glass): classify flare pane contacts exactly
contrib/dave-gaming-pc/codex/pass71-grenade-budget-287	efd3147a	2026-08-14T05:12:19+01:00	Dave Hatton	no	130	130	328	65389	2469	PASS71_FAMILY	test(pass71): calibrate software grenade CI budget
contrib/dave-gaming-pc/codex/pass71-grenade-ci-semantic	b94525f7	2026-08-13T17:18:30+01:00	Dave Hatton	no	46	46	171	15624	2166	PASS71_FAMILY	test(grenades): split software CI action semantics
contrib/dave-gaming-pc/codex/pass71-grenade-estimator-fix	f4b04056	2026-08-14T03:27:23+01:00	Dave Hatton	no	124	124	328	63550	2390	PASS71_FAMILY	test(pass71): stabilize software grenade frontier budget
contrib/dave-gaming-pc/codex/pass71-grenade-native-receipt	b23821ba	2026-08-13T19:54:34+01:00	Dave Hatton	no	60	60	197	19002	2232	PASS71_FAMILY	qa: require full HF-298 grenade coverage
contrib/dave-gaming-pc/codex/pass71-hf296-contact-evidence	086fc55a	2026-08-13T20:25:18+01:00	Dave Hatton	no	64	64	204	19766	2247	PASS71_FAMILY	qa: compose HF-296 contact evidence
contrib/dave-gaming-pc/codex/pass71-hf296-full-closure-v2	db3389bf	2026-08-13T21:34:08+01:00	Dave Hatton	no	71	71	227	26957	2251	PASS71_FAMILY	test(pass71): add exact HF-296 contact closure evidence
contrib/dave-gaming-pc/codex/pass71-hf297-arms-evidence	82218bfc	2026-08-13T20:58:29+01:00	Dave Hatton	no	69	69	226	25066	2250	PASS71_FAMILY	qa: keep partial HF-297 evidence non-closing
contrib/dave-gaming-pc/codex/pass71-hf297-full-closure-v2	de8be844	2026-08-14T00:10:06+01:00	Dave Hatton	no	93	93	305	52685	2295	PASS71_FAMILY	test(pass71): close HF-297 full arms evidence
contrib/dave-gaming-pc/codex/pass71-hf300-drone-thermal	cb5282ed	2026-08-13T22:32:13+01:00	Dave Hatton	no	79	79	247	34198	2253	PASS71_FAMILY	test(pass71): add exact HF-300 drone thermal evidence
contrib/dave-gaming-pc/codex/pass71-hf302-hf311-host-attestation	eb4ce9e9	2026-08-14T00:43:22+01:00	Dave Hatton	no	107	107	312	54033	2303	PASS71_FAMILY	qa: attest Pass 71 evidence host identity
contrib/dave-gaming-pc/codex/pass71-hf303-quality-visual	8065e634	2026-08-13T21:18:48+01:00	Dave Hatton	no	64	64	202	21253	2243	PASS71_FAMILY	qa: add HF-303 exact-camera Quality parity evidence
contrib/dave-gaming-pc/codex/pass71-hf304-acceptance-registration	8ea8cffd	2026-08-14T00:52:20+01:00	Dave Hatton	no	110	110	318	57190	2295	PASS71_FAMILY	release: require live-hosted HF-304 evidence
contrib/dave-gaming-pc/codex/pass71-hf304-full-evidence	53348ee1	2026-08-13T21:44:35+01:00	Dave Hatton	no	73	73	234	29051	2251	PASS71_FAMILY	qa: add HF-304 glass evidence component
contrib/dave-gaming-pc/codex/pass71-hf304-live-hosted-closure	f5fce536	2026-08-14T00:41:26+01:00	Dave Hatton	no	93	93	302	52460	2287	PASS71_FAMILY	test(pass71): close HF-304 hosted glass evidence
contrib/dave-gaming-pc/codex/pass71-hf305-nuke-evidence	7aa85595	2026-08-13T22:19:28+01:00	Dave Hatton	no	80	80	255	35703	2262	PASS71_FAMILY	test(pass71): add exact HF-305 nuke evidence
